monitoring_period,monitoring_start_year,area_code,n_samples,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
2014-15,2014,WL,78,24.294871794871796,25.657692307692308,5.916666666666667,4.21025641025641,4.8730769230769235,2.7346153846153847,0.09378205128205129,0.6974358974358974
2015-16,2015,DB,60,24.923333333333336,17.921666666666667,5.275,10.626666666666667,15.463333333333333,6.781666666666666,0.64725,1.8658333333333335
2015-16,2015,NEL,60,23.855,30.058333333333334,6.058333333333334,4.763333333333334,4.883333333333334,4.291666666666667,0.10193333333333333,0.35700000000000004
2015-16,2015,NWL,78,24.406410256410258,24.49102564102564,6.174358974358975,5.680769230769231,7.203846153846153,2.669230769230769,0.11384615384615386,0.8038461538461539
2015-16,2015,SWL,36,24.280555555555555,28.811111111111114,7.241666666666666,4.422222222222222,4.552777777777778,7.122222222222222,0.04477777777777778,0.305
2015-16,2015,WL,78,24.406410256410258,24.49102564102564,6.174358974358975,5.680769230769231,7.203846153846153,2.669230769230769,0.11384615384615386,0.8038461538461539
2016-17,2016,DB,60,25.211666666666666,16.04,5.461666666666667,19.386666666666667,27.021666666666665,5.04,0.8946833333333334,1.8875
2016-17,2016,NEL,60,23.654999999999998,29.581666666666667,5.795,8.353333333333333,3.9949999999999997,2.1733333333333333,0.10515000000000001,0.3343333333333333
2016-17,2016,NWL,78,24.596153846153847,23.608974358974358,6.001282051282051,29.488461538461536,5.702564102564103,3.2884615384615383,0.1023974358974359,0.7646153846153846
2016-17,2016,SWL,36,24.11388888888889,29.57222222222222,6.602777777777778,4.997222222222223,6.797222222222222,5.513888888888889,0.04713888888888889,0.21694444444444447
2016-17,2016,WL,78,24.596153846153847,23.608974358974358,6.001282051282051,29.488461538461536,5.702564102564103,3.2884615384615383,0.1023974358974359,0.7646153846153846
2017-18,2017,DB,60,25.423333333333336,19.113333333333333,5.905,13.57,21.096666666666668,9.861666666666668,0.4647833333333333,1.614
2017-18,2017,NEL,60,23.988333333333333,29.53666666666667,6.183333333333334,3.68,5.87,4.87,0.0906,0.35866666666666663
2017-18,2017,NWL,78,23.98589743589744,24.137179487179488,6.121794871794871,7.030769230769231,8.546153846153846,1.8935897435897435,0.08678205128205128,0.8162820512820513
2017-18,2017,SWL,36,24.358333333333334,28.183333333333334,7.1,5.530555555555555,10.580555555555556,5.580555555555556,0.029194444444444443,0.33888888888888885
2017-18,2017,WL,78,23.98589743589744,24.137179487179488,6.121794871794871,7.030769230769231,8.546153846153846,1.8935897435897435,0.08678205128205128,0.8162820512820513
2018-19,2018,DB,60,25.44,19.19,5.278333333333333,16.578333333333333,28.461666666666666,3.0616666666666665,0.30201666666666666,1.5965
2018-19,2018,NEL,60,24.56,29.998333333333335,5.818333333333333,2.685,6.319999999999999,3.4466666666666668,0.08034999999999999,0.354
2018-19,2018,NWL,78,24.996153846153845,26.03205128205128,6.251282051282051,4.038461538461538,9.121794871794872,5.732051282051282,0.06876923076923076,0.622948717948718
2018-19,2018,SWL,36,24.48888888888889,30.522222222222222,6.533333333333333,3.4694444444444446,7.811111111111111,3.7777777777777777,0.03180555555555556,0.21944444444444444
2018-19,2018,WL,78,24.996153846153845,26.03205128205128,6.251282051282051,4.038461538461538,9.121794871794872,5.732051282051282,0.06876923076923076,0.622948717948718
2019-20,2019,DB,52,26.536538461538463,17.757692307692306,5.898076923076923,14.386538461538462,22.32884615384615,4.4192307692307695,0.22676923076923078,1.2761538461538462
2019-20,2019,NEL,52,25.565384615384616,29.792307692307695,5.988461538461538,3.5961538461538463,6.336538461538462,4.148076923076923,0.09240384615384614,0.32653846153846156
2019-20,2019,NWL,67,26.197014925373136,24.77910447761194,6.289552238805971,6.170149253731343,11.043283582089552,5.755223880597015,0.07094029850746268,0.5677611940298507
2019-20,2019,SWL,30,26.313333333333333,26.983333333333334,6.453333333333333,4.4766666666666675,9.139999999999999,6.673333333333333,0.03816666666666667,0.4093333333333333
2019-20,2019,WL,67,26.197014925373136,24.77910447761194,6.289552238805971,6.170149253731343,11.043283582089552,5.755223880597015,0.07094029850746268,0.5677611940298507
2020-21,2020,DB,48,25.647916666666664,19.708333333333332,5.810416666666666,15.335416666666667,22.400000000000002,5.65625,0.21616666666666665,1.11375
2020-21,2020,NEL,49,24.781632653061223,30.383673469387755,5.744897959183674,4.122448979591836,7.93061224489796,5.159183673469388,0.11381632653061224,0.29816326530612247
2020-21,2020,NWL,62,25.583870967741937,24.333870967741937,5.824193548387097,5.496774193548387,7.827419354838709,4.32258064516129,0.07553225806451612,0.6443548387096775
2020-21,2020,SWL,27,25.1037037037037,29.55185185185185,5.955555555555556,4.9148148148148145,7.981481481481482,5.54074074074074,0.05551851851851852,0.2437037037037037
2020-21,2020,WL,62,25.583870967741937,24.333870967741937,5.824193548387097,5.496774193548387,7.827419354838709,4.32258064516129,0.07553225806451612,0.6443548387096775
2021-22,2021,DB,57,26.010526315789473,21.73859649122807,5.817543859649123,18.180357142857144,16.63859649122807,8.678947368421053,0.21742105263157896,1.1554385964912282
2021-22,2021,NEL,58,24.851724137931036,30.794827586206896,5.274137931034482,7.960344827586207,4.482758620689655,5.334482758620689,0.11491379310344828,0.31396551724137933
2021-22,2021,NWL,74,24.925675675675677,27.05,5.418918918918919,10.486486486486486,4.97972972972973,6.3810810810810805,0.07601351351351351,0.5317567567567568
2021-22,2021,SWL,34,25.185294117647057,30.57058823529412,5.579411764705882,11.18235294117647,5.423529411764706,6.476470588235294,0.07052941176470588,0.24382352941176474
2021-22,2021,WL,74,24.925675675675677,27.05,5.418918918918919,10.486486486486486,4.97972972972973,6.3810810810810805,0.07601351351351351,0.5317567567567568
2022-23,2022,DB,45,26.38222222222222,18.34,5.997777777777777,63.85777777777778,14.088888888888889,5.608888888888889,0.2710222222222222,1.1942222222222223
2022-23,2022,NEL,46,25.77391304347826,29.46521739130435,5.7413043478260875,10.76086956521739,4.060869565217391,4.604347826086957,0.09293478260869566,0.3291304347826087
2022-23,2022,NWL,59,26.466101694915253,23.372881355932204,5.598305084745763,25.58813559322034,7.606779661016949,2.483050847457627,0.07032203389830509,0.6138983050847457
2022-23,2022,SWL,27,25.918518518518518,28.444444444444443,6.248148148148148,17.803703703703704,5.855555555555555,5.477777777777778,0.045000000000000005,0.32592592592592595
2022-23,2022,WL,59,26.466101694915253,23.372881355932204,5.598305084745763,25.58813559322034,7.606779661016949,2.483050847457627,0.07032203389830509,0.6138983050847457
